Victoria_Bennett: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0')]
Quinn_Perry: [('s=1', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=2')]
Madison_Bryant: [('s=2', 'a=0'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=0')]
Miles_Jenkins: [('s=1', 'a=0'), ('s=0', 'a=0'), ('s=0', 'a=0'), ('s=0', 'a=0'), ('s=0', 'a=0')]
Sharon_Flores: [('s=1', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=1')]
Frank_Parker: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=1')]
Samuel_Kelly: [('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=0', 'a=0')]
Isabella_Hamilton: [('s=0', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=0')]
Andrew_Wright: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=0')]
Jamie_Ross: [('s=1', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=1')]
Gary_Phillips: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=1')]
Patricia_Brown: [('s=2', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1')]
Angela_Rivera: [('s=1', 'a=2'), ('s=2', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=1'), ('s=2', 'a=1')]
Caleb_Simmons: [('s=2', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=0')]
Cheryl_Murphy: [('s=2', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=0'), ('s=2', 'a=1')]
James_Rodriguez: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=1')]
Shane_Cox: [('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2')]
Steven_Walker: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1')]
Susan_Anderson: [('s=2', 'a=1'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Benjamin_Rogers: [('s=2', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=0')]
Naomi_Jordan: [('s=2', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=1'), ('s=0', 'a=2')]
Christopher_Martin: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=2', 'a=2')]
Karen_Sanchez: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=3', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Sierra_Griffin: [('s=1', 'a=1'), ('s=3', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1')]
Riley_Powell: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=0')]
Aaron_Russell: [('s=2', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2')]
Caroline_Patterson: [('s=0', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2')]
Edward_Green: [('s=2', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=2'), ('s=0', 'a=2')]
Janet_Edwards: [('s=2', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1')]
Alice_Sanders: [('s=2', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=0')]
Carter_Graham: [('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=0'), ('s=2', 'a=2'), ('s=0', 'a=2')]
Carol_Scott: [('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=2')]
Michael_Jones: [('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2')]
Theresa_Howard: [('s=2', 'a=2'), ('s=3', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2')]
Jacob_Campbell: [('s=3', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2')]
Elizabeth_Martinez: [('s=4', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=2')]
Morgan_Henderson: [('s=2', 'a=2'), ('s=2', 'a=1'), ('s=3', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2')]
Sandra_Young: [('s=1', 'a=2'), ('s=3', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=3', 'a=2')]
Isaac_Hayes: [('s=3', 'a=2'), ('s=0', 'a=2'), ('s=3', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=2')]
Megan_Reed: [('s=2', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2')]
Lisa_Lee: [('s=1', 'a=2'), ('s=3', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Anthony_Clark: [('s=3', 'a=1'), ('s=2', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=3', 'a=2')]
Alyssa_Foster: [('s=1', 'a=2'), ('s=3', 'a=2'), ('s=3', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2')]
Zachary_Bailey: [('s=1', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2')]
Luke_Diaz: [('s=3', 'a=1'), ('s=1', 'a=0'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2')]
Alex_Patterson: [('s=2', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=2')]
Joseph_Thomas: [('s=1', 'a=2'), ('s=3', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=2'), ('s=2', 'a=1')]
Stephanie_Evans: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=2'), ('s=0', 'a=2')]
Sofia_Griffin: [('s=1', 'a=2'), ('s=3', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Cynthia_Adams: [('s=0', 'a=0'), ('s=1', 'a=2'), ('s=3', 'a=1'), ('s=3', 'a=1'), ('s=1', 'a=2')]
Scott_Collins: [('s=2', 'a=2'), ('s=3', 'a=0'), ('s=0', 'a=2'), ('s=3', 'a=1'), ('s=1', 'a=2')]
Derek_Price: [('s=2', 'a=0'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=0'), ('s=1', 'a=2')]
Mia_Sullivan: [('s=3', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Kevin_Torres: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2')]
