Victoria_Bennett: [('s=3', 'a=0'), ('s=4', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=0'), ('s=4', 'a=0'), ('s=4', 'a=0'), ('s=4', 'a=0'), ('s=4', 'a=0'), ('s=3', 'a=0'), ('s=4', 'a=0')]
Ethan_Flores: [('s=0', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=2'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0')]
Olivia_Morgan: [('s=0', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=0'), ('s=3', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=3', 'a=0'), ('s=2', 'a=0')]
William_Miller: [('s=0', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0')]
Patrick_Cooper: [('s=2', 'a=0'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=1'), ('s=3', 'a=0')]
Mark_Lewis: [('s=2', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=1'), ('s=3', 'a=0'), ('s=3', 'a=0')]
Jennifer_Lopez: [('s=0', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=0')]
Brandon_Sanchez: [('s=1', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=3', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Eva_West: [('s=2', 'a=2'), ('s=3', 'a=0'), ('s=1', 'a=2'), ('s=3', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0'), ('s=2', 'a=0'), ('s=3', 'a=0')]
Casey_Barnes: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1')]
Emma_Roberts: [('s=1', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=1')]
Robert_Williams: [('s=1', 'a=0'), ('s=0', 'a=1'), ('s=2', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=1')]
Jeffrey_Hall: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=2', 'a=1')]
Samantha_Butler: [('s=2', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=1'), ('s=2', 'a=1')]
Adam_Bell: [('s=0', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2')]
Barbara_Davis: [('s=1', 'a=1'), ('s=2', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=0')]
Diane_Richardson: [('s=0', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=2', 'a=1'), ('s=0', 'a=1')]
Helen_Robinson: [('s=1', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=2', 'a=0')]
Richard_Wilson: [('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=2')]
Laura_Morris: [('s=2', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=1')]
Julian_Cole: [('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=1')]
Dorothy_Jackson: [('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=0')]
Matthew_Harris: [('s=1', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=1'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Connor_Russell: [('s=1', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=1')]
Quinn_Perry: [('s=1', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=2')]
Madison_Bryant: [('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=2')]
Miles_Jenkins: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=0', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=2')]
Sharon_Flores: [('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=2', 'a=1'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=0')]
Frank_Parker: [('s=2', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=0'), ('s=0', 'a=1'), ('s=2', 'a=1'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=0')]
Samuel_Kelly: [('s=1', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=2', 'a=2')]
Isabella_Hamilton: [('s=1', 'a=1'), ('s=1', 'a=0'), ('s=2', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=0')]
Andrew_Wright: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=2'), ('s=1', 'a=1'), ('s=2', 'a=2')]
Jamie_Ross: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2')]
Gary_Phillips: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=0'), ('s=2', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=0')]
Patricia_Brown: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Angela_Rivera: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=0'), ('s=0', 'a=2')]
Caleb_Simmons: [('s=1', 'a=1'), ('s=0', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=1')]
Cheryl_Murphy: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=1')]
James_Rodriguez: [('s=1', 'a=2'), ('s=0', 'a=0'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Shane_Cox: [('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Steven_Walker: [('s=0', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Susan_Anderson: [('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=0'), ('s=0', 'a=1')]
Benjamin_Rogers: [('s=2', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=0'), ('s=0', 'a=1'), ('s=1', 'a=1')]
Naomi_Jordan: [('s=1', 'a=0'), ('s=3', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2')]
Christopher_Martin: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=0'), ('s=3', 'a=0'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0')]
Karen_Sanchez: [('s=3', 'a=0'), ('s=0', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=0'), ('s=0', 'a=2')]
Sierra_Griffin: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=1')]
Riley_Powell: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=0', 'a=0')]
Aaron_Russell: [('s=2', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2')]
Caroline_Patterson: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1')]
Edward_Green: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Janet_Edwards: [('s=0', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1')]
Alice_Sanders: [('s=2', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Carter_Graham: [('s=2', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2')]
Carol_Scott: [('s=1', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2')]
Michael_Jones: [('s=3', 'a=1'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2')]
Theresa_Howard: [('s=3', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Jacob_Campbell: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2')]
Elizabeth_Martinez: [('s=3', 'a=2'), ('s=1', 'a=2'), ('s=3', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Morgan_Henderson: [('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Sandra_Young: [('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=1')]
Isaac_Hayes: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Megan_Reed: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2')]
Lisa_Lee: [('s=1', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Anthony_Clark: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2')]
Alyssa_Foster: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2')]
Zachary_Bailey: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=4', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Luke_Diaz: [('s=2', 'a=2'), ('s=3', 'a=0'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=1'), ('s=0', 'a=2')]
Alex_Patterson: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Joseph_Thomas: [('s=4', 'a=0'), ('s=3', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=1')]
Stephanie_Evans: [('s=3', 'a=0'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Sofia_Griffin: [('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=4', 'a=0'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Cynthia_Adams: [('s=2', 'a=0'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2')]
Scott_Collins: [('s=1', 'a=2'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Derek_Price: [('s=3', 'a=1'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Mia_Sullivan: [('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=2')]
Kevin_Torres: [('s=2', 'a=2'), ('s=1', 'a=2'), ('s=4', 'a=2'), ('s=1', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
